                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7357,                 2.9939,                 1.2596,                0.97048,                0.28169,                0.39874,                0.26637,                 1.5586,                   2.57,                 1.0887,               0.070366,              0.0032927,              0.0032927
                      1,                 1.4507,                 1.6035,                 1.0958,                0.65109,                0.58304,                0.59078,                0.33109,                  1.512,                 1.4369,                   1.11,               0.040038,               0.006298,               0.006298
                      2,                 1.4541,                 1.5022,                 1.0979,                0.60093,                0.58668,                 0.5516,                0.28451,                 1.6726,                 1.4731,                 1.2035,              0.0093799,              0.0089734,              0.0089734
                      3,                 1.3854,                 1.3441,                 1.0858,                 0.7061,                0.62704,                0.65849,                  0.402,                 1.2718,                  1.253,                 1.0836,               0.008515,               0.008515,               0.008515
                      4,                 1.3249,                  1.282,                 1.0508,                0.77847,                0.64291,                 0.6825,                 0.3886,                 1.3529,                  1.208,                 1.0787,               0.008515,               0.008515,               0.008515
                      5,                 1.2056,                 1.1279,                 1.0205,                0.84726,                 0.6513,                0.71609,                0.43113,                 1.1853,                 1.1075,                 1.0467,                0.00802,                0.00802,                0.00802
                      6,                 1.2305,                 1.0813,                 1.0058,                0.70477,                0.70658,                0.70306,                0.43771,                 1.2098,                   1.05,                 1.0267,               0.007525,               0.007525,               0.007525
                      7,                  1.142,                 1.0492,                0.98551,                0.77249,                0.73718,                0.74831,                0.47029,                 1.0908,                0.93945,                0.99139,                0.00703,                0.00703,                0.00703
                      8,                 1.0969,                0.96794,                0.96231,                 0.7724,                0.70809,                0.74277,                0.47581,                 1.0839,                0.92196,                 1.0001,               0.006535,               0.006535,               0.006535
                      9,                 1.0543,                 0.9262,                0.95377,                0.82725,                0.75191,                 0.7746,                0.51159,                 1.0193,                 0.8722,                0.96968,                0.00604,                0.00604,                0.00604
                     10,                 1.0184,                 1.0134,                0.94004,                0.78107,                0.73848,                0.76561,                0.49966,                  1.066,                 0.9109,                0.98143,               0.005545,               0.005545,               0.005545
                     11,                0.98709,                0.93004,                0.92197,                0.83893,                0.76279,                0.80002,                0.51272,                0.99117,                0.83888,                0.95702,                0.00505,                0.00505,                0.00505
                     12,                0.94203,                0.88395,                0.91281,                0.80726,                0.74322,                0.78165,                0.49975,                0.97925,                0.86055,                0.97334,               0.004555,               0.004555,               0.004555
                     13,                0.89475,                0.84087,                 0.9022,                0.83548,                0.73567,                0.79512,                 0.5146,                0.94248,                0.82331,                0.95097,                0.00406,                0.00406,                0.00406
                     14,                0.87807,                0.82431,                0.89718,                 0.8094,                0.79937,                0.80768,                0.53609,                 0.8985,                0.77437,                0.93841,               0.003565,               0.003565,               0.003565
                     15,                0.85615,                0.78749,                0.89326,                0.85618,                0.78464,                0.82996,                0.56012,                0.89247,                0.75157,                0.94494,                0.00307,                0.00307,                0.00307
                     16,                0.82103,                 0.7636,                0.88171,                0.87428,                0.79826,                0.83966,                0.57982,                0.86146,                0.71808,                0.93038,               0.002575,               0.002575,               0.002575
                     17,                0.79816,                0.74794,                0.87905,                0.86342,                0.81404,                0.83899,                0.57782,                0.81076,                 0.6882,                0.92455,                0.00208,                0.00208,                0.00208
                     18,                0.77907,                0.71321,                0.86886,                 0.8674,                 0.8052,                0.83558,                0.57871,                0.78385,                0.66946,                0.91423,               0.001585,               0.001585,               0.001585
                     19,                0.74971,                0.69437,                0.86212,                0.90279,                0.79714,                0.84494,                0.58804,                0.80324,                0.66831,                0.91662,                0.00109,                0.00109,                0.00109
