                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.358,                 1.6179,                 1.1359,                0.74403,                0.60082,                0.65073,                0.45202,                 1.2412,                 1.0373,                 1.1594,               0.070076,              0.0033249,              0.0033249
                      1,                 1.0631,                 0.8593,                0.98033,                0.86579,                0.66355,                0.74301,                0.50016,                 1.2032,                0.88883,                 1.1387,               0.039747,              0.0063286,              0.0063286
                      2,                 1.0425,                0.79844,                0.97056,                0.74479,                 0.6272,                0.68749,                0.47859,                  1.306,                 1.0482,                 1.1711,               0.009087,              0.0090024,              0.0090024
                      3,                0.97222,                0.71542,                 0.9519,                0.74657,                0.65851,                0.68138,                0.46241,                 1.3321,                0.93795,                 1.1599,               0.008515,               0.008515,               0.008515
                      4,                0.90951,                0.64859,                0.93345,                0.86976,                 0.7326,                0.78954,                0.56833,                 1.0937,                0.74663,                  1.091,               0.008515,               0.008515,               0.008515
                      5,                0.85866,                0.60047,                 0.9172,                0.84307,                 0.7272,                0.78994,                0.56826,                 1.0663,                0.73927,                 1.0645,                0.00802,                0.00802,                0.00802
                      6,                0.82277,                0.56736,                0.90658,                0.86828,                0.76039,                0.81297,                0.58695,                 1.0797,                0.68797,                 1.0767,               0.007525,               0.007525,               0.007525
                      7,                0.78911,                0.54116,                0.89846,                 0.8763,                0.77482,                 0.8322,                0.61274,                 1.0357,                0.67182,                 1.0595,                0.00703,                0.00703,                0.00703
                      8,                0.76898,                0.52182,                0.89253,                0.89179,                0.78233,                0.84565,                0.64496,                0.99104,                0.64399,                 1.0465,               0.006535,               0.006535,               0.006535
                      9,                0.74597,                0.50246,                0.88633,                0.90172,                0.76818,                0.82884,                0.63539,                0.97741,                0.64825,                   1.06,                0.00604,                0.00604,                0.00604
                     10,                0.72971,                0.49002,                0.88269,                0.90963,                0.78752,                0.85091,                0.65909,                0.95744,                0.60322,                 1.0356,               0.005545,               0.005545,               0.005545
                     11,                0.71081,                0.47376,                0.87703,                0.91065,                0.78677,                0.85911,                0.66134,                0.95544,                0.58644,                 1.0424,                0.00505,                0.00505,                0.00505
                     12,                0.69584,                0.46389,                0.87226,                0.91201,                0.79795,                0.86264,                0.66445,                0.94709,                0.58268,                 1.0331,               0.004555,               0.004555,               0.004555
                     13,                0.67851,                0.45146,                0.86768,                0.91487,                0.77356,                0.84974,                0.65238,                0.95641,                0.59916,                 1.0405,                0.00406,                0.00406,                0.00406
                     14,                0.66655,                 0.4423,                0.86504,                0.92228,                0.79347,                  0.866,                0.67851,                0.92912,                0.55826,                 1.0395,               0.003565,               0.003565,               0.003565
                     15,                0.64882,                0.42996,                0.85947,                0.88295,                0.81138,                0.86255,                0.67103,                0.92337,                0.55868,                 1.0375,                0.00307,                0.00307,                0.00307
                     16,                0.64209,                 0.4223,                0.85807,                0.89844,                0.82709,                 0.8732,                0.68671,                0.90588,                0.55117,                 1.0343,               0.002575,               0.002575,               0.002575
                     17,                0.62295,                0.41084,                0.85324,                0.90808,                0.81193,                0.86759,                0.69018,                0.88693,                0.53383,                 1.0311,                0.00208,                0.00208,                0.00208
                     18,                0.61351,                0.40542,                0.85098,                0.91707,                0.81626,                0.87181,                0.69624,                0.87281,                0.53165,                 1.0297,               0.001585,               0.001585,               0.001585
                     19,                 0.6026,                0.39653,                0.84858,                0.89925,                0.82168,                0.87219,                0.69105,                0.88531,                0.53711,                  1.038,                0.00109,                0.00109,                0.00109
