                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                      2,                 2.7174,                 1.2606,                0.95968,                0.21526,                0.37722,                0.19758,                 1.6888,                 2.2285,                 1.1745,               0.070366,              0.0032927,              0.0032927
                      1,                 1.8656,                 1.5771,                 1.1569,                0.90775,                0.37526,                0.40375,                0.19844,                 1.7038,                 1.2667,                 1.1259,               0.040038,               0.006298,               0.006298
                      2,                 1.8256,                 1.4767,                 1.1411,                0.93276,                0.39971,                0.41794,                0.23319,                 1.6015,                 1.2204,                 1.0893,              0.0093799,              0.0089734,              0.0089734
                      3,                 1.7483,                 1.4495,                  1.108,                0.93046,                0.39789,                0.41939,                0.22803,                 1.7084,                 1.2605,                 1.1191,               0.008515,               0.008515,               0.008515
                      4,                  1.736,                 1.3397,                 1.0857,                0.92024,                0.41595,                0.43775,                0.24878,                 1.5693,                 1.1668,                  1.071,               0.008515,               0.008515,               0.008515
                      5,                  1.669,                 1.2645,                 1.0633,                0.94341,                0.41474,                0.45679,                0.25539,                 1.6094,                 1.1631,                 1.0792,                0.00802,                0.00802,                0.00802
                      6,                 1.6221,                 1.2147,                 1.0444,                0.60401,                0.44407,                0.46734,                0.27022,                 1.4981,                 1.0161,                 1.0422,               0.007525,               0.007525,               0.007525
                      7,                 1.5532,                  1.135,                 1.0137,                0.63964,                0.47102,                0.48773,                0.29937,                 1.3282,                0.91533,                0.98572,                0.00703,                0.00703,                0.00703
                      8,                 1.5105,                 1.0682,                0.99204,                0.62642,                0.49277,                0.49614,                0.30006,                  1.381,                0.93018,                0.99918,               0.006535,               0.006535,               0.006535
                      9,                 1.4536,                 1.0372,                0.97966,                 0.6347,                0.50781,                0.50991,                0.32273,                 1.2921,                0.85571,                0.95635,                0.00604,                0.00604,                0.00604
                     10,                 1.3716,                 1.0928,                0.97484,                0.60806,                0.49743,                0.50369,                0.31939,                 1.3048,                0.90514,                0.98294,               0.005545,               0.005545,               0.005545
                     11,                 1.3215,                 1.0248,                0.95924,                0.66785,                0.50925,                0.52274,                0.33381,                 1.1988,                  0.818,                0.95002,                0.00505,                0.00505,                0.00505
                     12,                 1.2618,                0.99165,                0.94712,                0.62542,                 0.5108,                0.51811,                0.33323,                 1.2204,                0.81172,                0.94427,               0.004555,               0.004555,               0.004555
                     13,                 1.2431,                0.94886,                 0.9321,                0.70884,                0.51496,                0.53988,                0.33676,                 1.2131,                 0.8136,                0.94559,                0.00406,                0.00406,                0.00406
                     14,                 1.2062,                0.91025,                0.93165,                0.63684,                 0.5263,                0.53687,                0.34907,                  1.165,                0.77351,                0.93224,               0.003565,               0.003565,               0.003565
                     15,                  1.157,                0.88736,                 0.9194,                0.63839,                0.53734,                0.54416,                0.36261,                 1.0971,                0.75139,                0.92431,                0.00307,                0.00307,                0.00307
                     16,                 1.1177,                0.85453,                0.91008,                0.66145,                0.54755,                0.55561,                 0.3653,                 1.0991,                0.73933,                0.91938,               0.002575,               0.002575,               0.002575
                     17,                 1.1137,                0.84949,                0.90887,                0.66139,                0.55642,                0.55973,                0.38019,                 1.0207,                0.71135,                0.90486,                0.00208,                0.00208,                0.00208
                     18,                 1.0833,                0.82568,                0.90099,                0.67969,                0.54219,                0.56174,                0.38009,                 1.0338,                0.70457,                0.90748,               0.001585,               0.001585,               0.001585
                     19,                 1.0446,                0.79985,                0.89659,                0.66925,                0.55277,                0.56275,                0.38131,                  1.007,                0.69265,                0.89999,                0.00109,                0.00109,                0.00109
