                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.374,                 1.7629,                 1.3075,                0.80976,                 0.7306,                 0.7928,                0.55245,                 1.3495,                 1.0155,                 1.5599,               0.070078,              0.0033247,              0.0033247
                      1,                 1.0076,                0.86356,                 1.0727,                0.84669,                0.77124,                0.82552,                0.58487,                 1.3031,                 0.9695,                 1.4668,               0.039748,              0.0063284,              0.0063284
                      2,                0.96731,                 0.7965,                 1.0527,                0.90354,                0.77993,                0.84214,                0.60793,                 1.3099,                 0.9379,                 1.4424,              0.0090888,              0.0090022,              0.0090022
                      3,                0.91938,                 0.7298,                  1.036,                0.89486,                0.76603,                0.80965,                0.58515,                 1.3261,                0.93399,                 1.5228,               0.008515,               0.008515,               0.008515
                      4,                 0.8422,                0.64667,                 1.0085,                0.93203,                0.81646,                0.87182,                0.65278,                 1.1687,                0.77835,                 1.3797,               0.008515,               0.008515,               0.008515
                      5,                0.79145,                0.58666,                0.98454,                0.87321,                 0.8282,                0.87879,                0.67165,                 1.1385,                0.72159,                 1.3988,                0.00802,                0.00802,                0.00802
                      6,                0.75949,                 0.5553,                0.97429,                0.93203,                0.82198,                0.87371,                0.67843,                 1.1148,                0.69493,                 1.4015,               0.007525,               0.007525,               0.007525
                      7,                0.72038,                0.52481,                0.95848,                0.94115,                0.85688,                0.89666,                0.70491,                 1.0869,                0.63771,                 1.3657,                0.00703,                0.00703,                0.00703
                      8,                 0.7035,                0.50511,                0.95109,                0.93885,                0.88403,                0.90623,                0.73175,                 1.0442,                 0.6034,                 1.3387,               0.006535,               0.006535,               0.006535
                      9,                0.67333,                0.47873,                0.93826,                0.93934,                0.85775,                0.90433,                0.73024,                  1.048,                0.59621,                 1.3653,                0.00604,                0.00604,                0.00604
                     10,                0.65467,                0.46343,                0.93041,                0.93006,                0.88494,                 0.9111,                0.74527,                 0.9963,                0.59478,                 1.3472,               0.005545,               0.005545,               0.005545
                     11,                0.63478,                0.44936,                0.92555,                 0.9311,                0.87981,                0.90648,                0.74245,                 1.0019,                0.56399,                 1.3354,                0.00505,                0.00505,                0.00505
                     12,                0.61761,                0.43381,                0.91902,                0.93313,                0.89409,                0.91441,                0.75468,                0.97449,                0.56326,                  1.336,               0.004555,               0.004555,               0.004555
                     13,                0.60026,                0.42048,                0.91332,                0.93459,                0.88087,                 0.9136,                0.75926,                0.97975,                0.55239,                 1.3537,                0.00406,                0.00406,                0.00406
                     14,                0.58861,                0.41262,                0.90934,                0.94089,                0.87804,                0.91336,                0.76636,                0.95419,                0.53675,                 1.3245,               0.003565,               0.003565,               0.003565
                     15,                0.57122,                0.39896,                0.90239,                0.94428,                0.87628,                0.91541,                0.76389,                0.94659,                0.53873,                 1.3357,                0.00307,                0.00307,                0.00307
                     16,                0.55858,                0.38984,                0.89803,                0.93438,                0.90101,                0.92047,                0.76873,                0.94648,                0.51685,                 1.3555,               0.002575,               0.002575,               0.002575
                     17,                0.54519,                0.37835,                0.89312,                0.93826,                0.89728,                0.91817,                0.77149,                0.92164,                0.51829,                 1.3541,                0.00208,                0.00208,                0.00208
                     18,                0.53101,                0.36812,                0.88745,                0.93474,                0.89448,                0.91631,                0.77787,                0.91831,                0.50222,                 1.3468,               0.001585,               0.001585,               0.001585
                     19,                0.51833,                0.35934,                0.88427,                0.95345,                0.89356,                0.91695,                0.77743,                0.90955,                0.50165,                 1.3592,                0.00109,                0.00109,                0.00109
